,Name,location
0,Agnes Irwin School,"Rosemont, PA"
1,The German School Society (GISW),"Potomac, MD"
2,Brooklyn Academy of Music,"Brooklyn, NY"
3,Kaboom,"Washington, DC"
4,Best Buddies International,"Miami, FL"
5,American National Standards Institute (ANSI),"New York, NY"
6,Center on Budget and Policy Priorities,"Washington, DC"
7,Community Services for Autistic Adults and Children (CSAAC),"Montgomery Village, MD"
8,National Endowment for Democracy,"Washington, DC"
9,Smithsonian Institution (SI),"Washington, DC"
